Customer.Code,Customer.Name,Tier,Potential,Adoption,Planned.Interaction,Actual.Interaction,DiffInteraction,Total,Potential_norm,Adoption_norm,DiffInteraction_norm,Tier_norm,Total_norm,Province,ZipCode
627065,Apothek_627065,1,M,A,3,4,1,26703,0.5,1,0.571428571,1,0.052127734,Anvers,2940
459957,Apothek_459957,2,M,C,2,3,1,84284,0.5,0,0.571428571,0.5,0.164714647,Anvers,2570
695410,Apothek_695410,1,H,C,3,1,-2,16068,1,0,0.142857143,1,0.031333344,Anvers,2610
439265,Apothek_439265,3,L,C,1,0,-1,22072,0,0,0.285714286,0,0.043072838,Anvers,2570
759892,Apothek_759892,2,M,C,2,2,0,NA,0.5,0,0.428571429,0.5,NA,Anvers,2800
713149,Apothek_713149,3,M,B,1,5,4,20356,0.5,0.5,1,0,0.03971758,Anvers,2018
649113,Apothek_649113,2,M,C,2,0,-2,13287,0.5,0,0.142857143,0.5,0.025895713,Anvers,2470
354420,Apothek_354420,3,M,B,1,1,0,16678,0.5,0.5,0.428571429,0,0.032526064,Anvers,2100
620403,Apothek_620403,1,H,B,3,1,-2,273864,1,0.5,0.142857143,1,0.535396413,Anvers,2830
223875,Apothek_223875,2,M,B,2,4,2,20387,0.5,0.5,0.714285714,0.5,0.039778193,Anvers,2900
993196,Apothek_993196,3,M,B,1,2,1,41006,0.5,0.5,0.571428571,0,0.080094088,Anvers,2910
924182,Apothek_924182,2,M,C,2,4,2,28103,0.5,0,0.714285714,0.5,0.054865125,Anvers,2880
986499,Apothek_986499,2,M,B,2,0,-2,NA,0.5,0.5,0.142857143,0.5,NA,Anvers,2610
722204,Apothek_722204,3,M,A,1,5,4,420,0.5,1,1,0,0.00073714,Anvers,2610
504539,Apothek_504539,1,H,C,3,5,2,56566,1,0,0.714285714,1,0.110518227,Anvers,2100
274292,Apothek_274292,2,M,B,2,1,-1,54744,0.5,0.5,0.285714286,0.5,0.106955709,Anvers,2060
862147,Apothek_862147,2,M,B,2,4,2,40439,0.5,0.5,0.714285714,0.5,0.078985445,Anvers,2470
267205,Apothek_267205,1,H,C,3,2,-1,33018,1,0,0.285714286,1,0.06447532,Anvers,2930
897796,Apothek_897796,2,H,C,2,4,2,NA,1,0,0.714285714,0.5,NA,Anvers,2930
898544,Apothek_898544,3,M,A,1,4,3,18721,0.5,1,0.857142857,0,0.036520699,Anvers,2018
526120,Apothek_526120,2,M,B,2,0,-2,38414,0.5,0.5,0.142857143,0.5,0.075026005,Anvers,2870
105921,Apothek_105921,3,L,A,1,2,1,11150,0,1,0.571428571,0,0.021717282,Anvers,2830
621631,Apothek_621631,1,H,C,3,0,-3,NA,1,0,0,1,NA,Anvers,2170
514744,Apothek_514744,2,M,C,2,4,2,27042,0.5,0,0.714285714,0.5,0.052790574,Anvers,2387
135407,Apothek_135407,2,M,B,2,5,3,NA,0.5,0.5,0.857142857,0.5,NA,Anvers,2520
579715,Apothek_579715,3,M,C,1,0,-1,NA,0.5,0,0.285714286,0,NA,Anvers,2880
511998,Apothek_511998,1,H,C,3,5,2,NA,1,0,0.714285714,1,NA,Anvers,2630
367029,Apothek_367029,3,M,C,1,0,-1,16166,0.5,0,0.285714286,0,0.031524961,Anvers,2531
825099,Apothek_825099,3,L,C,1,3,2,9261,0,0,0.714285714,0,0.018023761,Anvers,2570
774663,Apothek_774663,2,M,C,2,3,1,4058,0.5,0,0.571428571,0.5,0.007850445,Anvers,2150
469233,Apothek_469233,3,M,B,1,5,4,35459,0.5,0.5,1,0,0.069248156,Anvers,2900
846826,Apothek_846826,3,H,A,1,3,2,NA,1,1,0.714285714,0,NA,Anvers,2018
860130,Apothek_860130,2,H,B,2,1,-1,102019,1,0.5,0.285714286,0.5,0.199391517,Anvers,2627
541038,Apothek_541038,3,L,B,1,2,1,55772,0,0.5,0.571428571,0,0.108965736,Anvers,2320
422505,Apothek_422505,3,M,B,1,3,2,41889,0.5,0.5,0.714285714,0,0.081820599,Anvers,2000
667203,Apothek_667203,3,M,B,1,5,4,17318,0.5,0.5,1,0,0.033777442,Anvers,2018
112720,Apothek_112720,2,M,B,2,5,3,93130,0.5,0.5,0.857142857,0.5,0.182011043,Anvers,2170
379073,Apothek_379073,1,H,B,3,1,-2,73857,1,0.5,0.142857143,1,0.144326954,Anvers,2861
951713,Apothek_951713,3,L,B,1,0,-1,10538,0,0.5,0.285714286,0,0.020520652,Anvers,2640
952394,Apothek_952394,3,M,C,1,5,4,33891,0.5,0,1,0,0.066182279,Anvers,2100
124663,Apothek_124663,2,M,C,2,0,-2,10597,0.5,0,0.142857143,0.5,0.020636013,Anvers,2140
202171,Apothek_202171,2,H,C,2,4,2,NA,1,0,0.714285714,0.5,NA,Anvers,2140
417516,Apothek_417516,1,H,B,3,2,-1,93988,1,0.5,0.285714286,1,0.183688673,Anvers,2840
443904,Apothek_443904,2,M,B,2,5,3,44150,0.5,0.5,0.857142857,0.5,0.086241485,Anvers,2660
695458,Apothek_695458,3,H,B,1,5,4,NA,1,0.5,1,0,NA,Anvers,2275
477639,Apothek_477639,2,M,B,2,3,1,90129,0.5,0.5,0.571428571,0.5,0.176143252,Anvers,2060
621390,Apothek_621390,2,M,B,2,0,-2,36077,0.5,0.5,0.142857143,0.5,0.070456519,Anvers,2920
726561,Apothek_726561,1,M,A,3,0,-3,31188,0.5,1,0,1,0.06089716,Anvers,2180
409163,Apothek_409163,1,H,C,3,2,-1,12749,1,0,0.285714286,1,0.024843773,Anvers,2850
258617,Apothek_258617,2,M,B,2,4,2,41696,0.5,0.5,0.714285714,0.5,0.08144323,Anvers,2100
568105,Apothek_568105,3,M,C,1,0,-1,35835,0.5,0,0.285714286,0,0.069983341,Anvers,2580
568791,Apothek_568791,2,M,B,2,1,-1,30007,0.5,0.5,0.285714286,0.5,0.058587976,Anvers,2800
492061,Apothek_492061,3,M,B,1,1,0,26023,0.5,0.5,0.428571429,0,0.050798145,Anvers,2100
570150,Apothek_570150,2,M,C,2,0,-2,NA,0.5,0,0.142857143,0.5,NA,Anvers,2610
188297,Apothek_188297,2,M,C,2,2,0,44140,0.5,0,0.428571429,0.5,0.086221932,Anvers,2600
941841,Apothek_941841,2,M,C,2,3,1,NA,0.5,0,0.571428571,0.5,NA,Anvers,2300
211366,Apothek_211366,2,M,C,2,2,0,75167,0.5,0,0.428571429,0.5,0.146888369,Anvers,2910
222016,Apothek_222016,2,M,C,2,2,0,21548,0.5,0,0.428571429,0.5,0.042048272,Anvers,2610
202611,Apothek_202611,3,M,C,1,2,1,10217,0.5,0,0.571428571,0,0.019893007,Anvers,2560
570868,Apothek_570868,1,H,B,3,5,2,152869,1,0.5,0.714285714,1,0.298817447,Anvers,2830
252615,Apothek_252615,2,M,B,2,0,-2,76480,0.5,0.5,0.142857143,0.5,0.14945565,Anvers,2970
158318,Apothek_158318,1,H,B,3,0,-3,70362,1,0.5,0,1,0.137493254,Anvers,2018
530874,Apothek_530874,1,H,B,3,3,0,18133,1,0.5,0.428571429,1,0.035370995,Anvers,2160
232626,Apothek_232626,2,H,B,2,2,0,30457,1,0.5,0.428571429,0.5,0.059467851,Anvers,2330
300406,Apothek_300406,1,M,B,3,0,-3,72477,0.5,0.5,0,1,0.141628669,Anvers,2170
400664,Apothek_400664,3,L,B,1,0,-1,NA,0,0.5,0.285714286,0,NA,Anvers,2060
467719,Apothek_467719,1,H,C,3,3,0,197982,1,0,0.428571429,1,0.387025943,Anvers,2930
374240,Apothek_374240,1,H,B,3,2,-1,34905,1,0.5,0.285714286,1,0.068164932,Anvers,2300
677810,Apothek_677810,3,M,B,1,1,0,91868,0.5,0.5,0.428571429,0,0.179543481,Anvers,2280
142457,Apothek_142457,1,H,C,3,3,0,60172,1,0,0.428571429,1,0.117568963,Anvers,2550
524368,Apothek_524368,2,M,B,2,1,-1,105777,0.5,0.5,0.285714286,0.5,0.206739455,Anvers,2140
297902,Apothek_297902,2,M,B,2,4,2,6663,0.5,0.5,0.714285714,0.5,0.012943946,Anvers,2500
964448,Apothek_964448,1,H,B,3,4,1,41873,1,0.5,0.571428571,1,0.081789315,Anvers,2310
222722,Apothek_222722,3,M,B,1,4,3,157421,0.5,0.5,0.857142857,0,0.307717877,Anvers,2370
101656,Apothek_101656,1,H,B,3,2,-1,41275,1,0.5,0.285714286,1,0.080620058,Anvers,2560
236964,Apothek_236964,3,M,B,1,4,3,NA,0.5,0.5,0.857142857,0,NA,Anvers,2300
865305,Apothek_865305,3,L,B,1,3,2,41505,0,0.5,0.714285714,0,0.081069772,Anvers,2500
452101,Apothek_452101,2,H,C,2,1,-1,125195,1,0,0.285714286,0.5,0.24470706,Anvers,2980
218670,Apothek_218670,1,H,B,3,1,-2,18674,1,0.5,0.142857143,1,0.0364288,Anvers,2170
321913,Apothek_321913,3,L,B,1,2,1,NA,0,0.5,0.571428571,0,NA,Anvers,2110
786285,Apothek_786285,2,M,B,2,4,2,NA,0.5,0.5,0.714285714,0.5,NA,Anvers,2660
293153,Apothek_293153,2,M,C,2,1,-1,27944,0.5,0,0.285714286,0.5,0.054554236,Anvers,2300
966771,Apothek_966771,1,H,B,3,0,-3,114611,1,0.5,0,1,0.224012389,Anvers,2370
927145,Apothek_927145,2,M,B,2,4,2,64443,0.5,0.5,0.714285714,0.5,0.125919959,Anvers,2370
481621,Apothek_481621,1,H,C,3,3,0,5859,1,0,0.428571429,1,0.011371902,Anvers,2000
140366,Apothek_140366,2,M,B,2,2,0,32346,0.5,0.5,0.428571429,0.5,0.063161373,Anvers,2300
527996,Apothek_527996,1,H,C,3,1,-2,82557,1,0,0.142857143,1,0.16133788,Anvers,2390
938894,Apothek_938894,1,H,B,3,0,-3,43697,1,0.5,0,1,0.085355743,Anvers,2170
461740,Apothek_461740,3,L,C,1,2,1,NA,0,0,0.571428571,0,NA,Anvers,2600
776377,Apothek_776377,2,M,C,2,4,2,18709,0.5,0,0.714285714,0.5,0.036497235,Anvers,2640
782588,Apothek_782588,3,L,C,1,4,3,2882,0,0,0.857142857,0,0.005551037,Anvers,2380
465013,Apothek_465013,2,M,B,2,3,1,34423,0.5,0.5,0.571428571,0.5,0.067222487,Anvers,2890
631610,Apothek_631610,3,L,C,1,3,2,NA,0,0,0.714285714,0,NA,Anvers,2890
371898,Apothek_371898,3,L,C,1,1,0,13513,0,0,0.428571429,0,0.026337606,Anvers,2800
690711,Apothek_690711,1,H,C,3,3,0,37461,1,0,0.428571429,1,0.073162624,Anvers,2240
818364,Apothek_818364,1,H,C,3,4,1,38091,1,0,0.571428571,1,0.07439445,Anvers,2630
375530,Apothek_375530,2,M,B,2,4,2,61132,0.5,0.5,0.714285714,0.5,0.11944603,Anvers,2310
179508,Apothek_179508,2,M,C,2,4,2,28236,0.5,0,0.714285714,0.5,0.055125177,Anvers,2640
828883,Apothek_828883,1,H,B,3,1,-2,23673,1,0.5,0.142857143,1,0.04620324,Anvers,2000
794421,Apothek_794421,2,M,B,2,2,0,49254,0.5,0.5,0.428571429,0.5,0.096221228,Anvers,2930
507994,Apothek_507994,2,M,C,2,5,3,NA,0.5,0,0.857142857,0.5,NA,Anvers,2300
444513,Apothek_444513,3,L,C,1,5,4,30410,0,0,1,0,0.059375953,Anvers,2300
944024,Apothek_944024,2,M,B,2,2,0,98008,0.5,0.5,0.428571429,0.5,0.191548894,Anvers,2040
693025,Apothek_693025,3,L,C,1,4,3,NA,0,0,0.857142857,0,NA,Anvers,2990
788069,Apothek_788069,2,M,C,2,3,1,150994,0.5,0,0.571428571,0.5,0.295151299,Anvers,2070
530361,Apothek_530361,2,M,B,2,4,2,NA,0.5,0.5,0.714285714,0.5,NA,Anvers,2930
964696,Apothek_964696,3,M,A,1,4,3,NA,0.5,1,0.857142857,0,NA,Anvers,2650
944710,Apothek_944710,3,M,C,1,2,1,42236,0.5,0,0.571428571,0,0.082499081,Anvers,2600
202925,Apothek_202925,2,M,B,2,5,3,69729,0.5,0.5,0.857142857,0.5,0.136255563,Anvers,2970
830121,Apothek_830121,1,M,B,3,0,-3,NA,0.5,0.5,0,1,NA,Anvers,2100
814417,Apothek_814417,1,H,C,3,4,1,55004,1,0,0.571428571,1,0.107464082,Anvers,2140
613347,Apothek_613347,2,M,C,2,2,0,55688,0.5,0,0.428571429,0.5,0.108801492,Anvers,2070
309108,Apothek_309108,2,M,C,2,5,3,24851,0.5,0,0.857142857,0.5,0.048506558,Anvers,2650
661023,Apothek_661023,1,H,C,3,1,-2,65805,1,0,0.142857143,1,0.128583049,Anvers,2820
460290,Apothek_460290,1,H,C,3,2,-1,58582,1,0,0.285714286,1,0.114460069,Anvers,2950
570183,Apothek_570183,3,M,A,1,1,0,8019,0.5,1,0.428571429,0,0.015595304,Anvers,2180
348452,Apothek_348452,3,L,C,1,2,1,51660,0,0,0.571428571,0,0.100925629,Anvers,2640
743043,Apothek_743043,2,M,C,2,2,0,5704,0.5,0,0.428571429,0.5,0.011068834,Anvers,2630
273656,Apothek_273656,3,M,C,1,0,-1,124696,0.5,0,0.285714286,0,0.243731376,Anvers,2610
187938,Apothek_187938,2,M,C,2,0,-2,39132,0.5,0,0.142857143,0.5,0.076429895,Anvers,2920
318097,Apothek_318097,2,M,B,2,1,-1,22128,0.5,0.5,0.285714286,0.5,0.043182334,Anvers,2980
932017,Apothek_932017,2,M,B,2,1,-1,48029,0.5,0.5,0.285714286,0.5,0.093826011,Anvers,2320
478656,Apothek_478656,3,M,B,1,5,4,NA,0.5,0.5,1,0,NA,Anvers,2220
720959,Apothek_720959,2,M,B,2,0,-2,5174,0.5,0.5,0.142857143,0.5,0.010032536,Anvers,2610
186034,Apothek_186034,2,M,C,2,4,2,6888,0.5,0,0.714285714,0.5,0.013383884,Anvers,2570
481690,Apothek_481690,2,M,B,2,1,-1,30325,0.5,0.5,0.285714286,0.5,0.059209754,Anvers,2018
708189,Apothek_708189,1,H,C,3,1,-2,46862,1,0,0.142857143,1,0.091544201,Anvers,2900
539602,Apothek_539602,3,M,C,1,4,3,22438,0.5,0,0.857142857,0,0.04378847,Anvers,2600
649940,Apothek_649940,3,L,B,1,5,4,35059,0,0.5,1,0,0.068466045,Anvers,2460
195837,Apothek_195837,2,H,C,2,0,-2,NA,1,0,0.142857143,0.5,NA,Anvers,2140
251228,Apothek_251228,3,M,C,1,2,1,32281,0.5,0,0.571428571,0,0.06303428,Anvers,2610
104013,Apothek_104013,3,L,C,1,0,-1,53641,0,0,0.285714286,0,0.104799036,Anvers,2990
266257,Apothek_266257,2,M,B,2,4,2,NA,0.5,0.5,0.714285714,0.5,NA,Anvers,2900
895490,Apothek_895490,2,M,B,2,1,-1,43890,0.5,0.5,0.285714286,0.5,0.085733112,Anvers,2600
902123,Apothek_902123,2,M,B,2,0,-2,NA,0.5,0.5,0.142857143,0.5,NA,Anvers,2000
451227,Apothek_451227,2,M,C,2,1,-1,60735,0.5,0,0.285714286,0.5,0.118669785,Anvers,2140
528040,Apothek_528040,1,H,C,3,3,0,23700,1,0,0.428571429,1,0.046256032,Anvers,2580
606913,Apothek_606913,2,M,C,2,1,-1,15725,0.5,0,0.285714286,0.5,0.030662683,Anvers,2660
492794,Apothek_492794,2,M,C,2,0,-2,27952,0.5,0,0.142857143,0.5,0.054569878,Anvers,2640
356607,Apothek_356607,2,M,C,2,0,-2,93516,0.5,0,0.142857143,0.5,0.182765781,Anvers,2590
105908,Apothek_105908,2,M,B,2,0,-2,44883,0.5,0.5,0.142857143,0.5,0.087674704,Anvers,2620
803523,Apothek_803523,3,L,C,1,0,-1,28907,0,0,0.285714286,0,0.056437169,Anvers,2920
499825,Apothek_499825,2,H,C,2,0,-2,NA,1,0,0.142857143,0.5,NA,Anvers,2221
959662,Apothek_959662,1,H,B,3,0,-3,61320,1,0.5,0,1,0.119813623,Anvers,2950
442095,Apothek_442095,3,L,A,1,2,1,30114,0,1,0.571428571,0,0.058797191,Anvers,2000
106238,Apothek_106238,2,M,B,2,0,-2,71735,0.5,0.5,0.142857143,0.5,0.140177852,Anvers,2070
682400,Apothek_682400,1,H,C,3,2,-1,75895,1,0,0.285714286,1,0.148311812,Anvers,2560
454878,Apothek_454878,1,H,C,3,3,0,49082,1,0,0.428571429,1,0.09588492,Anvers,2275
546206,Apothek_546206,1,H,B,3,3,0,7298,1,0.5,0.428571429,1,0.014185548,Anvers,2590
380741,Apothek_380741,3,M,B,1,4,3,21227,0.5,0.5,0.857142857,0,0.041420627,Anvers,2100
284509,Apothek_284509,2,M,C,2,1,-1,NA,0.5,0,0.285714286,0.5,NA,Anvers,2880
309677,Apothek_309677,1,H,B,3,2,-1,114157,1,0.5,0.285714286,1,0.223124692,Anvers,2960
816815,Apothek_816815,2,M,B,2,1,-1,71894,0.5,0.5,0.285714286,0.5,0.140488742,Anvers,2960
537207,Apothek_537207,2,M,B,2,5,3,103177,0.5,0.5,0.857142857,0.5,0.20165573,Anvers,2100
778031,Apothek_778031,1,H,B,3,5,2,112525,1,0.5,0.714285714,1,0.219933677,Anvers,2970
227894,Apothek_227894,2,M,B,2,1,-1,47437,0.5,0.5,0.285714286,0.5,0.092668486,Anvers,2610
803232,Apothek_803232,1,M,B,3,4,1,38424,0.5,0.5,0.571428571,1,0.075045558,Anvers,2660
943912,Apothek_943912,1,H,C,3,4,1,3190,1,0,0.571428571,1,0.006153263,Anvers,2020
200210,Apothek_200210,2,M,C,2,5,3,NA,0.5,0,0.857142857,0.5,NA,Anvers,2650
